FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,service,source_file,terrain,operateur,lon,lat,region_key,commune_key,nom
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c63,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Atakpame Kondji,Agence Moov Atakpame Kondji,"Agence Moov Atakpame Kondji, Atakpame Kondji","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2012,{Utilise},Agence Moov,"{WCs,Douches}",Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,0.6323238302268985,6.912437527210687,PLATEAUX,KLOTO1,Agence Moov Atakpame Kondji
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c64,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Kpele Adeta,Franchise Togocom Kpele Adeta,"Franchise Togocom Kpele Adeta, Kpele Adeta","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Togocom,Nsp,Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,0.7312616666666667,7.131715000000001,PLATEAUX,KPELE1,Franchise Togocom Kpele Adeta
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c65,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Kpele Adeta ,Moov Store de Kpele Adeta,"Moov Store de Kpele Adeta, Kpele Adeta ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2021,{Utilise},Agence Moov,"{Latrines a eau,Douches}",Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,0.7312633333333333,7.132038333333332,PLATEAUX,KPELE1,Moov Store de Kpele Adeta
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c66,Plateaux,Anié,Anié 1,Anié,Anie,Agence Tococom Anie,"Agence Tococom Anie, Anie","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2008,{Utilise},Agence Togocom,{WCs},Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,1.1928466666666668,7.764953333333334,PLATEAUX,ANIE1,Agence Tococom Anie
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c67,Plateaux,Anié,Anié 1,Anié,Anie,Agence Moov Anie,"Agence Moov Anie, Anie","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,"{WCs,Douches}",Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,1.1934399999999998,7.759781666666667,PLATEAUX,ANIE1,Agence Moov Anie
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c68,Plateaux,Haho,Haho 3,Kpédomé,Tegbe,Agence Togocom Notse,"Agence Togocom Notse, Tegbe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2000,{Utilise},Agence Togocom,{WCs},Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,1.1720865663441928,6.964964238966572,PLATEAUX,HAHO3,Agence Togocom Notse
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c69,Plateaux,Haho,Haho 1,Notsé,Tegbe,Agence Moov Notse,"Agence Moov Notse, Tegbe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,{Utilise},Agence Moov,{WCs},Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,1.1710633871826346,6.953371969046462,PLATEAUX,HAHO1,Agence Moov Notse
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c6a,Plateaux,Agou,Agou 1,Agou-Tavié,Gadzepe,Agence Togocom Gadzepe,"Agence Togocom Gadzepe, Gadzepe","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",Nsp,{Utilise},Agence Togocom,"{WCs,Latrines seches,Douches}",Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,0.716431603393936,6.846996147111316,PLATEAUX,AGOU1,Agence Togocom Gadzepe
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c6b,Savanes,Tône,Tône 1,Dapaong,Napiegou ,Agence Togocom Dapaong,"Agence Togocom Dapaong, Napiegou ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",1998,{Utilise},Agence Togocom,{Latrines a eau},Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,0.2034783333333333,10.862998333333334,SAVANES,TONE1,Agence Togocom Dapaong
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c6c,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Cinkasse ,Agence Togocom Cinkasse,"Agence Togocom Cinkasse, Cinkasse ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Dimanche}",2012,{Utilise},Agence Togocom,{Latrines a eau},Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,0.0396640250646777,11.087926289288212,SAVANES,CINKASSE1,Agence Togocom Cinkasse
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c6d,Savanes,Tône,Tône 1,Dapaong,"Dapaong, Quartier Natebagou",Franchise Moov Dapaong,"Franchise Moov Dapaong, Dapaong, Quartier Natebagou","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,{Utilise},Agence Moov,{WCs},Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,0.2028833333333333,10.876091666666666,SAVANES,TONE1,Franchise Moov Dapaong
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c6e,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Cinkanssé ,Franchise Moov Cinkanssé,"Franchise Moov Cinkanssé, Cinkanssé ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,{Utilise},Agence Moov,{WCs},Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,0.020775,11.097228333333332,SAVANES,CINKASSE1,Franchise Moov Cinkanssé
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c6f,Savanes,Oti-Sud,Oti-Sud 1,Gando,Gando ,Agence Togocom Gando,"Agence Togocom Gando, Gando ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,{Latrines seches},Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,0.7468683333333334,10.331795,SAVANES,OTISUD1,Agence Togocom Gando
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c70,Savanes,Oti,Oti 1,Mango,Djabou ,Agence Togocom Mango,"Agence Togocom Mango, Djabou ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2015,{Utilise},Agence Togocom,{Latrines a eau},Telecom,file-Agences - Télécom-05-09-2026 18_17_40.csv,,,0.465361704808692,10.35530386025091,SAVANES,OTI1,Agence Togocom Mango
_mview_datacenter_etablissements_datacenter.fid--5eb27099_1a070dc3cf9_cf6,Maritime,Golfe,Golfe 3,Bè-Ouest,GTA,Lomé Data Center (LDC),"Lome Data Center (LDC), GTA","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2022,{Construit et Utilise},,{WCs},Data center,datacenter.csv,Domaine public de l Etat ou des collectivites territoriales,,1.2115164283178868,6.192485913766419,MARITIME,GOLFE3,Lomé Data Center (LDC)
_mview_datacenter_etablissements_datacenter.fid--5eb27099_1a070dc3cf9_cf7,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoe,E-Gouv NOC,"E-Gouv NOC, Nyekonakpoe","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,{Construit et Utilise},,{WCs},Data center,datacenter.csv,Domaine public de l Etat ou des collectivites territoriales,,1.211050025340087,6.128697250477794,MARITIME,GOLFE4,E-Gouv NOC
_mview_datacenter_etablissements_datacenter.fid--5eb27099_1a070dc3cf9_cf8,Maritime,Golfe,Golfe 5,Aflao-Gakli,Avenou,Cloud & Racks - Café Informatique,"Cloud & Racks - Cafe Informatique, Avenou","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,{Construit et Utilise},,{WCs},Data center,datacenter.csv,Prive - entreprise,,1.1916266327644083,6.170298703903997,MARITIME,GOLFE5,Cloud & Racks - Café Informatique
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d03,Savanes,Tône,Tône 4,Sanfatoute,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.3032083333333333,10.996651666666667,SAVANES,TONE4,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d04,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.3600592001272428,10.717565088366083,SAVANES,KPENDJALOUEST1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d05,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.231485,10.878860000000001,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d06,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.36035,10.717921666666665,SAVANES,KPENDJALOUEST1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d07,Maritime,Golfe,Golfe 1,Bè-Est,,,,,,,,,Mobile Money,mobile money.csv,,Nsp,1.2845533333333332,6.171833333333333,MARITIME,GOLFE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d08,Savanes,Tône,Tône 1,Toaga,,,,,,,,,Mobile Money,mobile money.csv,,Togocom,0.2489566666666667,10.885906666666665,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d09,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.3603193341104241,10.718124249426852,SAVANES,KPENDJALOUEST1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d0a,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,,,,,,,,,Mobile Money,mobile money.csv,,Togocom,0.3601712447675913,10.718348622033448,SAVANES,KPENDJALOUEST1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d0b,Savanes,Tône,Tône 1,Toaga,,,,,,,,,Mobile Money,mobile money.csv,,Togocom,0.2392606758149832,10.882063923216391,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d0c,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.1864104159983782,11.00668450253974,SAVANES,CINKASSE2,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d0d,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Nayéga,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.4091616666666667,10.751848333333331,SAVANES,KPENDJALOUEST1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d0e,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,Togocom,0.2020216666666666,10.865521666666666,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d0f,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2020533333333333,10.865516666666668,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d10,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2017816666666667,10.865371666666666,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d11,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.20137,10.866153333333333,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d12,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2026883333333333,10.864476666666667,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d13,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2026296669965144,10.864457306134542,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d14,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.19946,10.864713333333334,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d15,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.20313,10.864866666666668,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d16,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2032233333333333,10.864973333333333,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d17,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,,,,,,,,,Mobile Money,mobile money.csv,,Moov,0.1919290572081031,11.012449060371543,SAVANES,CINKASSE2,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d18,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.19793,10.864121666666666,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d19,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.1995246969729944,10.868651333587971,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d1a,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.1999333333333334,10.867818333333332,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d1b,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2044666666666667,10.863693333333334,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d1c,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.1994633333333334,10.868625000000002,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d1d,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.1943983333333333,10.863111666666668,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d1e,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,Togocom,0.2040916666666667,10.863585,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d1f,Savanes,Tône,Tône 4,Korbongou,,,,,,,,,Mobile Money,mobile money.csv,,Moov,0.3696533333333333,10.942331666666666,SAVANES,TONE4,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d20,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.1921566666666667,10.861663333333334,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d21,Savanes,Tône,Tône 4,Louanga,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.3324983333333333,10.892733333333334,SAVANES,TONE4,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d22,Savanes,Tône,Tône 4,Louanga,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.33101,10.903838333333333,SAVANES,TONE4,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d23,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.377745,10.725439999999999,SAVANES,KPENDJALOUEST1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d24,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.1797596499930003,11.028229950523473,SAVANES,CINKASSE2,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d25,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,Nsp,0.2036435954424676,10.864215254278882,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d26,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.19917,10.868955000000001,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d27,Savanes,Tône,Tône 2,Naki-Ouest,,,,,,,,,Mobile Money,mobile money.csv,,Nsp,0.093384896667069,10.90627849910268,SAVANES,TONE2,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d28,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2039571787728624,10.863133222132358,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d29,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.3799806764482449,10.727152510028883,SAVANES,KPENDJALOUEST1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d2a,Savanes,Tône,Tône 3,Warkambou,,,,,,,,,Mobile Money,mobile money.csv,,Togocom,-0.0347316666666667,10.783750000000001,SAVANES,TONE3,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d2b,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,,,,,,,,,Mobile Money,mobile money.csv,,Moov,0.1922254393991932,11.032544777826768,SAVANES,CINKASSE2,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d2c,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.382567526932995,10.728348957265222,SAVANES,KPENDJALOUEST1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d2d,Savanes,Tône,Tône 2,Naki-Ouest,,,,,,,,,Mobile Money,mobile money.csv,,Moov,0.0914716666666667,10.906164999999998,SAVANES,TONE2,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d2e,Maritime,Zio,Zio 3,Agbélouvé,,,,,,,,,Mobile Money,mobile money.csv,,Nsp,1.1673550000000001,6.674436666666666,MARITIME,ZIO3,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d2f,Maritime,Zio,Zio 3,Agbélouvé,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",1.169835527954165,6.681035540158565,MARITIME,ZIO3,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d30,Maritime,Zio,Zio 3,Agbélouvé,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",1.1663354799892047,6.6729037819230985,MARITIME,ZIO3,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d31,Plateaux,Akébou,Akébou 1,Kougnohou,,,,,,,,,Mobile Money,mobile money.csv,,Togocom,0.7936278586123118,7.647733964939098,PLATEAUX,AKEBOU1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d32,Maritime,Zio,Zio 3,Agbélouvé,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",1.1614733333333334,6.670964999999999,MARITIME,ZIO3,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d33,Savanes,Cinkassé,Cinkassé 1,Cinkassé,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.0204733333333333,11.098993333333333,SAVANES,CINKASSE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d34,Savanes,Cinkassé,Cinkassé 2,Biankouri,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.05283,11.015391666666668,SAVANES,CINKASSE2,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d35,Savanes,Cinkassé,Cinkassé 1,Cinkassé,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.0198,11.098811666666666,SAVANES,CINKASSE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d36,Maritime,Zio,Zio 1,Tsévié,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",1.2108433333333333,6.420000000000001,MARITIME,ZIO1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d37,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2048133333333334,10.864156666666668,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d38,Savanes,Tône,Tône 1,Toaga,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.267025,10.944621666666668,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d39,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2044129808458262,10.863586871844447,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d3a,Savanes,Tône,Tône 1,Toaga,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.266925,10.944346666666668,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d3b,Savanes,Tône,Tône 4,Korbongou,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2983533333333333,10.976244999999999,SAVANES,TONE4,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d3c,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.3798630730591543,10.727067384405697,SAVANES,KPENDJALOUEST1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d3d,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2040113656165219,10.863058844873635,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d3e,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.1967966666666667,10.872485,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d3f,Savanes,Tône,Tône 4,Kantindi,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2675693972280633,10.944003937325009,SAVANES,TONE4,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d40,Savanes,Tône,Tône 4,Kantindi,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2674993987542178,10.943975425708386,SAVANES,TONE4,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d41,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2054233333333334,10.864293333333334,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d42,Savanes,Tône,Tône 4,Korbongou,,,,,,,,,Mobile Money,mobile money.csv,,Nsp,0.3517743875871579,10.910086581295944,SAVANES,TONE4,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d43,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2038874741730438,10.864781551996135,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d44,Savanes,Tône,Tône 2,Naki-Ouest,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.092949446818035,10.906370926363968,SAVANES,TONE2,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d45,Savanes,Tône,Tône 1,Dapaong,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.1792183333333333,10.854684999999998,SAVANES,TONE1,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d46,Savanes,Tône,Tône 2,Naki-Ouest,,,,,,,,,Mobile Money,mobile money.csv,,Togocom,0.0929539586711017,10.906372046964869,SAVANES,TONE2,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d47,Savanes,Tône,Tône 3,Warkambou,,,,,,,,,Mobile Money,mobile money.csv,,Moov,0.0035433333333333,10.800401666666668,SAVANES,TONE3,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d48,Savanes,Tône,Tône 4,Korbongou,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.3588037508670197,10.906378989353229,SAVANES,TONE4,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d49,Savanes,Tône,Tône 4,Korbongou,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.3583025944405935,10.906148627185381,SAVANES,TONE4,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d4a,Savanes,Tône,Tône 4,Korbongou,,,,,,,,,Mobile Money,mobile money.csv,,Moov,0.3581466708877847,10.90596200924057,SAVANES,TONE4,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d4b,Savanes,Tône,Tône 4,Kantindi,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.2786824147001287,10.894600204043309,SAVANES,TONE4,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d4c,Savanes,Tône,Tône 2,Naki-Ouest,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.0950041621955588,10.905690638936512,SAVANES,TONE2,Mobile Money
_mview_tel_agents_mobile_money.fid--5eb27099_1a070dc3cf9_d4d,Savanes,Tône,Tône 2,Naki-Ouest,,,,,,,,,Mobile Money,mobile money.csv,,"Moov, Togocom",0.0934435898356416,10.906217308843761,SAVANES,TONE2,Mobile Money
